Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer,observer.length,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward,left_cam,right_cam,rear_cam,raw_hdd_number,maxn_complete_date,maxn_checker,length_complete_date,Comment
DM-BV-07,-20.33049831,116.8967685,20230921,07:46:44,,Dampier,Fished,38,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,,,,,,28,27,1,1,31/01/2024,Alex McLennan,06/03/2024,"Green turtles, check ID. Cameras in wrong housing all day. Left footage is R028 right footage is L027. Use postcal"
DM-BV-04,-20.32672102,116.9171993,20230921,07:55:02,,Dampier,Fished,37.3,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,,,,,,29,30,2,1,31/01/2024,Alex McLennan,06/03/2024,Mantis Shrimp! (far away). Showed 10
DM-BV-10,-20.31787271,116.8985533,20230921,08:04:51,,Dampier,Fished,37.4,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,,,,,,31,32,3,1,02/02/2024,Alex McLennan,06/03/2024,Check Sea Snake ID. Turtle and Mantis shrimp den. Showed 4 at start corrected before deploy
DM-BV-24,-20.31045478,116.9261446,20230921,08:15:40,,Dampier,Fished,37.4,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,,,,,,33,34,4,1,08/02/2024,Alex McLennan,06/03/2024,Multiple sea snakes inside and outside of period. Lethrinidae spp. check ID
DM-BV-20,-20.30033641,116.9526296,20230921,08:24:25,,Dampier,Fished,36.4,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,,,,,,35,44,5,1,08/02/2024,Alex McLennan,08/05/2024,Sea Snake- Bri started lengths (speak to dan about nemip. spp)
DM-BV-17,-20.31012677,116.9567583,20230921,08:30:34,,Dampier,Fished,36.1,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,,,,,,37,38,9,1,08/02/2024,Alex McLennan,14/05/2024,
DM-BV-13,-20.31405864,116.9555827,20230921,08:34:56,,Dampier,Fished,35.1,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,,,,,,39,40,7,1,09/02/2024,Alex McLennan,13/05/2024,
DM-BV-02,-20.32509215,116.9528591,20230921,08:41:09,,Dampier,Fished,33.7,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,,,,,,41,42,8,1,16/02/2024,Alex McLennan,10/05/2024,Sawfish (Pristis zijsron) outside of period (84 mins in)
DM-BV-06,-20.32956667,116.9403033,20230921,10:11:35,,Dampier,Fished,38.2,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,,,,,,27,28,1,1,20/02/2024,Alex McLennan,10/05/2024,Tawny shark stole the bait bag at 33 minutes into the period. Cameras in wrong housing all day. Left footage is R028 right footage is L027. Use postcal
DM-BV-01,-20.34136087,116.9308774,20230921,10:19:29,,Dampier,Fished,37.8,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,,,,,,29,30,2,1,01/03/2024,Alex McLennan,14/05/2024,Check wedgefish ID. BRUV drops onto a congregation of hermit crabs. Sea snakes in and out of period (93mins)
DM-BV-03,-20.35661,116.9534767,20230921,10:28:38,,Dampier,Fished,36,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,,,,,,31,32,3,1,01/03/2024,Alex McLennan,13/05/2024,Point in wrong spot
DM-BV-09,-20.34545833,116.9616333,20230921,10:33:28,,Dampier,Fished,37,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,,,,,,33,34,4,1,11/03/2024,Alex McLennan,14/05/2024,C.albimarginatus needs checking. Tiger shark in period. Wedgefish with massive schools of Carangidae (98min) Great hammerhead (103min) outside of period
DM-BV-08,-20.36077491,116.9831531,20230921,10:44:28,,Dampier,Fished,35.5,Yes,Yes,Daniel Agnello,Ryan Simms,Yes,,,,,,35,44,5,1,22/03/2024,Alex McLennan,01/05/2024,Sea snake needs ID
DM-BV-05,-20.36878656,116.9937799,20230921,10:52:43,,Dampier,Fished,34.5,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,,,,,,37,38,9,1,03/04/2024,Alex McLennan,14/05/2024,"Sea snake, green turtle, juvenile wedgefish, zebra shark, 2 naucrates get stuck together (all in cool clips)"
DM-BV-14,-20.34742131,117.01662,20230921,11:05:57,,Dampier,Fished,35.2,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,,,,,,39,40,7,1,25/03/2024,Alex McLennan,14/05/2024,"Sea snake. weird soft, bouncy slug/sea cucumber thingy rolling across the FOV at ~1 min"
DM-BV-16,-20.33761467,117.0306433,20230921,11:16:33,,Dampier,Fished,34.9,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,,,,,,41,42,8,1,25/03/2024,Alex McLennan,14/05/2024,Sea snake. Hammerhead after period ~82mins
DM-BV-51,-20.33755167,117.0348467,20230921,13:22:27,,Dampier,No-take,35.5,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,,,,,,27,28,1,1,12/04/2024,Bri Beaulieu,14/05/2024,2 species of sea snakes. Cameras in wrong housing all day. Left footage is R028 right footage is L027. Use postcal
DM-BV-22,-20.33133167,117.0174817,20230921,13:30:54,,Dampier,Fished,36,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,,,,,,29,30,2,1,18/04/2024,Bri Beaulieu,10/05/2023,Sea snake
DM-BV-15,-20.32963,116.99708,20230921,13:40:28,,Dampier,Fished,36.9,Yes,Yes,Daniel Agnello,Bri Beaulieu,Yes,,,,,,31,32,3,1,29/04/2024,Bri Beaulieu,14/05/2024,Possibly pregnant tiger shark ~48mins
DM-BV-12,-20.32424333,116.9948517,20230921,13:45:08,,Dampier,Fished,36.7,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,33,34,4,1,19/04/2024,Bri Beaulieu,30/04/2024,
DM-BV-11,-20.317205,116.9803183,20230921,13:52:40,,Dampier,Fished,37.1,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,35,44,5,1,22/04/2024,Bri Beaulieu,30/04/2024,"Sea snake, R.austaliae"
DM-BV-21,-20.30787833,116.976335,20230921,13:58:41,,Dampier,Fished,37.8,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,37,38,9,1,24/04/2024,Bri Beaulieu,01/05/2024,
DM-BV-19,-20.30109667,116.99407,20230921,14:05:40,,Dampier,Fished,39.2,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,39,40,7,1,23/04/2024,Bri Beaulieu,01/05/2024,
DM-BV-25,-20.31486167,116.994875,20230921,14:13:12,,Dampier,Fished,37.1,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,41,42,8,1,24/04/2024,Bri Beaulieu,01/05/2024,
DM-BV-46,-20.31918833,117.0372083,20230923,07:32:05,,Dampier,No-take,33.9,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,27,28,1,1,24/04/2024,Bri Beaulieu,01/05/2024,
DM-BV-49,-20.31274667,117.03455,20230923,07:35:37,,Dampier,No-take,35.7,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,29,30,2,1,24/04/2024,Bri Beaulieu,01/05/2024,
DM-BV-56,-20.30827667,117.0466667,20230923,07:42:22,,Dampier,No-take,36,Yes,Yes,Ryan Simms,Bri Beaulieu,Yes,,,,,,31,32,3,1,30/04/2024,Bri Beaulieu,02/04/2024,
DM-BV-50,-20.30587333,117.05233,20230923,07:46:58,,Dampier,No-take,35.7,Yes,Yes,Bri Beaulieu,Bri Beaulieu,Yes,,,,,,33,34,4,1,29/04/2024,Alex McLennan,02/04/2024,
DM-BV-47,-20.31181,117.0515433,20230923,07:51:37,,Dampier,No-take,35.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,35,44,5,1,29/04/2024,Daniel Agnello,14/05/2024,Sea snakes mating (i think)
DM-BV-39,-20.30572,117.068565,20230923,08:00:44,,Dampier,No-take,35.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,37,38,9,1,26/04/2024,Daniel Agnello,14/05/2024,Backwards cam didn’t take photos
DM-BV-41,-20.31339833,117.0789883,20230923,08:07:10,,Dampier,No-take,34.9,Yes,Yes,Bri Beaulieu,Nidhi Menon,Yes,,,,,,39,40,7,1,26/04/2024,Daniel Agnello,10/05/2024,
DM-BV-40,-20.31708167,117.05918,20230923,08:15:08,,Dampier,No-take,34.2,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,41,42,8,1,26/04/2024,Daniel Agnello,10/05/2024,
DM-BV-53,-20.33662167,117.0516367,20230923,09:34:35,,Dampier,No-take,31.5,Yes,Yes,Bri Beaulieu,Nidhi Menon,Yes,,,,,,27,28,1,1,26/04/2024,Alex McLennan,10/05/2024,
DM-BV-48,-20.33704833,117.0553283,20230923,09:37:53,,Dampier,No-take,31.6,Yes,Yes,Bri Beaulieu,Nidhi Menon,Yes,,,,,,29,30,2,1,25/04/2024,Alex McLennan,10/05/2024,
DM-BV-45,-20.33872,117.0663717,20230923,09:43:31,,Dampier,No-take,32.1,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,31,32,3,1,24/04/2024,Alex McLennan,10/05/2024,
DM-BV-44,-20.34298667,117.0628217,20230923,09:47:29,,Dampier,No-take,31,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,33,34,4,1,24/04/2024,Alex McLennan,10/05/2024,No clap to sync
DM-BV-42,-20.334375,117.0952667,20230923,09:58:53,,Dampier,No-take,32.3,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,35,44,9,1,24/04/2024,Alex McLennan,10/05/2024,
DM-BV-55,-20.33103,117.080365,20230923,10:07:46,,Dampier,No-take,32.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,37,38,9,1,23/04/2024,Alex McLennan,10/05/2024,
DM-BV-52,-20.32275667,117.0871617,20230923,10:12:26,,Dampier,No-take,34.2,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,39,40,7,1,23/04/2024,Alex McLennan,09/05/2024,
DM-BV-26,-20.30281833,117.1066117,20230923,10:22:24,,Dampier,No-take,36.5,Yes,Yes,Bri Beaulieu,Nidhi Menon,Yes,,,,,,41,42,8,1,22/04/2024,Alex McLennan,03/05/2024,Snakes - laevis
DM-BV-29,-20.37435333,117.1063617,20230923,12:00:54,,Dampier,No-take,30.5,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,27,28,1,1,12/04/2024,Alex McLennan,09/05/2024,
DM-BV-28,-20.37111893,117.0883985,20230923,12:11:56,,Dampier,No-take,34.1,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,29,30,2,1,11/04/2024,Alex McLennan,09/05/2024,Not exact spot as GPS went down
DM-BV-35,-20.358995,117.07885,20230923,12:19:12,,Dampier,No-take,31,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,,,,,,31,32,3,1,08/04/2024,Alex McLennan,09/05/2024,
